"","iati.identifier","hierarchy","last.updated.datetime","default.language","reporting.org","reporting.org.ref","reporting.org.type","reporting.org.type.code","title","description","activity.status.code","start.planned","end.planned","start.actual","end.actual","participating.org..Accountable.","participating.org.ref..Accountable.","participating.org.type..Accountable.","participating.org.type.code..Accountable.","participating.org..Funding.","participating.org.ref..Funding.","participating.org.type..Funding.","participating.org.type.code..Funding.","participating.org..Extending.","participating.org.ref..Extending.","participating.org.type..Extending.","participating.org.type.code..Extending.","participating.org..Implementing.","participating.org.ref..Implementing.","participating.org.type..Implementing.","participating.org.type.code..Implementing.","recipient.country.code","recipient.country","recipient.country.percentage","recipient.region.code","recipient.region","recipient.region.percentage","sector.code","sector","sector.percentage","sector.vocabulary","sector.vocabulary.code","collaboration.type.code","default.finance.type.code","default.flow.type.code","default.aid.type.code","default.tied.status.code","default.currency","currency","total.Commitment","total.Disbursement","total.Expenditure","total.Incoming.Funds","total.Interest.Repayment","total.Loan.Repayment","total.Reimbursement"
"1470","US-EIN-300108263-GGProj:13979",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Give trafficked girls a new future in India","The Dream Home provides girls ages 13-18, rescued from sex trafficking a safe, loving place to live and the aftercare restoration necessary to realize a hopeful new future, one built on her dreams. Each girl receives personalized care to heal from her past and provide opportunities for her future. A girl who finds her home here finds a new beginning. She finds hope, with holistic trauma therapy, medical care, life skills training and sustainable career skills, she finds a dream for her future","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"BARNAMALA EDUCATIONAL & CULTURAL SOCIETY","US-GG-11419",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"125","0","0",0,0,0
"1471","US-EIN-300108263-GGProj:13996",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Educate 540 children in rural Tamil Nadu","Educating tomorrow's generation today - many children in rural Tamil Nadu drop out of school for various reasons. With your help we will be able to reach out to children - under achievers within the age group of 5 to 15 by providing them free supplemental learning - enriching their knowledge in local language (Tamil), English, and Maths The project will cover 3 villages, with a children's library, and 3 learning centers each, reaching a total of 540 children in rural Tamil Nadu.","3","2014-09-18","2015-03-13",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Vidyarambam Trust","US-GG-15348",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"906","0","0",0,0,0
"1472","US-EIN-300108263-GGProj:14071",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Support 40 Orphans&600 Needy Children of Sundarban","A care home for destitute and deprived homeless children of deserted Sundarban Coastal Area, we are trying to provide them with quality education, proper nutrition and care in a homely environment to gift them with a better tomorrow. Moreover we are helping 600 backward class Children to have pre-primary education through our 10 nos creche (free of cost) with uniform, books nutrition supplements in different blocks of S 24 Pgs. adjacent to Coastal Sundarban.","3","2013-06-03","2013-07-04",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Vivekananda Sevakendra-O-Sishu Uddyan (VSSU)","US-GG-13925",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"120","0","0",0,0,0
"1473","US-EIN-300108263-GGProj:1419",NA,"2015-09-18 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Helpline for Women: Project Specific Corpus Fund","The project assists at least 600 women in distress through 24 hour telephone rescue services, and provides them shelter, medical aid, repatriation, legal and other long term support.","3","2006-05-31","2007-07-02",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Ruchika Social Service Organisation","US-GG-12",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"59425","0","0",0,0,0
"1474","US-EIN-300108263-GGProj:1423",NA,"2015-09-18 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Empower 2,000 women in the Rural Himalayas","This project integrates rural technology that is easy to construct, socially acceptable, economically viable and environmentally friendly to strengthen rural livelihoods and reduce women’s drudgery.","3","2006-06-15","2007-07-31",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"SIMAR","US-GG-571",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"4390","0","0",0,0,0
"1475","US-EIN-300108263-GGProj:14281",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Give a child in India a future as a music teacher!","The My Peace Music Institute (MPMI) provides children from underpriviledged families with a free training to become music teachers. It offers a setting to learn, play, socialize, expand and relax as well. It is located in Kalimpong near Darjeeling, West Bengal.","3","2013-07-01","2013-08-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"My Peace Organization Austria","US-GG-15495",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"1010","0","0",0,0,0
"1476","US-EIN-300108263-GGProj:1433",NA,"2015-09-18 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Help 40 School Dropouts Generate Family Income","40 School Dropouts will be trained in vocational courses. Infrastructure development is a major share of project cost. Returns would accrue greater disposable income to rural youth and their families.","3","2006-06-27","2008-01-17",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"SAMPARC (Social Action for Manpower Creation)","US-GG-572",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"35","0","0",0,0,0
"1477","US-EIN-300108263-GGProj:14353",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","""Rahat Floods""- Support flood victims in India!","In the June of 2013, the northern states of Uttarakhand & Himachal Pradesh were hit with the worst floods in recent memory. The loss of life and property is unprecedented. Owing to the treacherous terrain, rescue and relief operations are intermittent. People are faced with the dearth of basic necessities such as water, food, shelter, clothing, medicines etc. This project will work for the relief and rehabilitation of the flood victims.","3","2013-06-23","2014-01-08",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"GOONJ","US-GG-506",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"43365","0","0",0,0,0
"1478","US-EIN-300108263-GGProj:14362",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Help us save lives in Uttarakhand!","Thousands of stranded pilgrims and uprooted families urgently need support. Over 14,000 pilgrims are still missing, 60,000 stranded and close to 200 people are reported to be dead from the unprecedented rains followed by floods and landslides. This is an urgent appeal to help and support distressed people in Uttarakhand.","3","2013-06-21","2013-11-18",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Oxfam India","US-GG-5357",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"16439","0","0",0,0,0
"1479","US-EIN-300108263-GGProj:14415",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Emergency Response to Floods in Northern India","Severe monsoon rains have created devastating floods and landslides throughout Northern India; 180 villages have been hit by the floods and more than 50,000 people have been forced to leave their homes. Thousands of families are in immediate need for food, shelter, blankets and other basic household items.","3","2013-07-08","2014-02-27",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"ActionAid International USA","US-GG-868",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"185","0","0",0,0,0
"1480","US-EIN-300108263-GGProj:14427",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Enhancing employability through computer literacy","The core objective of the computer literacy programme supported by Concern India Foundation is to provide youth with the opportunity to become more familiar with computer usage, to use technology to further enhancing their capabilities, to support them in their academic requirements and equip them with skills that will enhance their employability.","3","2013-07-05","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Concern India Foundation","US-GG-15404",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"355","0","0",0,0,0
"1481","US-EIN-300108263-GGProj:14484",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Support the Uttarakhand India flooding victims","AmeriCares is responding to the disaster by deploying medical teams to treat patients in areas cut off from services. Working with the local government and health care officials, we are providing water purification tablets, antibiotics and analgesics, as well as medications for chronic diseases such as diabetes for people who don't have access to medicine or medical care.We are establishing a three to six-month intervention with focus on providing primary and maternal and child care.","3","2013-07-15","2014-06-11",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"AmeriCares Foundation Inc.","US-GG-11555",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"2906","0","0",0,0,0
"1482","US-EIN-300108263-GGProj:14514",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Helping 50 Mentally and Physically Challenged","We have a Project for the Mentally and Physically Challenged Children. We are running an Special School for 40 Children and also a Home based Rehabilitation for 10 Severely Challenged Children. You can visit www.ashakiranashram.com. Now we need funding for the Running Expenditure and also for the construction of the Compound Wall and Security Guard's Room.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"CELESTIAL MINISTRIES CHARITABLE AND EDUCATIONAL TRUST","US-GG-9761",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"125","0","0",0,0,0
"1483","US-EIN-300108263-GGProj:1453",NA,"2015-09-18 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Educate 100 marginalised children in Kadapa   ","Eradication of Child Labor through  Modern education to 100 Child Labor in the rural areas of Badvel, Mydukur constitutions (around 400000 Population) in Kadapa District.","3","2006-06-28","2012-01-08",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Mother Teresa Mahila Mandali","US-GG-550",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"335","0","0",0,0,0
"1484","US-EIN-300108263-GGProj:14544",NA,"2014-08-05 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Rehabilitation of People with Disability","As per conservative figures there are 1million disabled people in Karnataka. APD intends to use advanced  Information & Communication Technology (ICT) to address the education, health care and all rehabilitation issues of people with disability in the state of Karnataka. APD addresses this through Remote & connected Classrooms using advanced ICT. This will impact 7000 PWD's in Year1.By Year 5 the impact will be on 0.2million people.","3","2013-10-08","2014-08-05",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"The Association of People with Disability","US-GG-9300",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"660","0","0",0,0,0
"1485","US-EIN-300108263-GGProj:14595",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Solar Power","To harness the solar energy so that the intellectually kids can get a better living, nutritious food, electricity to survive and most importantly life..","3","2013-09-01","2014-02-19",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Lebenshilfe","US-GG-14482",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"8026","0","0",0,0,0
"1486","US-EIN-300108263-GGProj:14596",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Sustain education of 350 under privileged children","Till date we have helped 350 under privileged children. They come from very challenging circumstances where their financial constraints are a hindrance to their education. Dropout rate is very high as there is a need to contribute to the family income. To sustain their education we provide free tuition, books, stationery, refreshment, mentoring, counseling, home visits and medical help. The focus of this project is to ensure continuity in their education and make them self reliant.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Nai Disha Educational And Cultural Society","US-GG-15442",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"25","0","0",0,0,0
"1487","US-EIN-300108263-GGProj:14654",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Health & hygiene support for 500 girls in india","This project will improve the health & hygiene of 500 less fortunate adolescent girls in Amritsar district of Punjab in India. Health services and medical check-ups will be provided for a period of three months.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"LOK KALYAN SAMITI","US-GG-16238",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"175","0","0",0,0,0
"1488","US-EIN-300108263-GGProj:14739",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","HOSTEL & SCHOOL FOR BLIND GIRLS & CHILDRENS","INDIAN MULTI PURPOSE TRUST FOR THE BLIND  IS THE FIRST NGO IN INDIA. WHO WORKS FOR THE BLIND FAMILIES SINCE LAST 13 YEARS.we give special attention and care to the blind persons after their marriage and when they are in the process of settling down as a family. 
The real problem starts when they marry a similar partner, have kids and try to settle in some remote rural area because of financial constraint as no organization of hostel houses such families.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"indian multi purpose trust for the blind","US-GG-15872",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"50","0","0",0,0,0
"1489","US-EIN-300108263-GGProj:14785",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Donate solar lamps to tribal girls to battle dark","The children in tribal's area find very difficult to cop up with the dark atmosphere and it is worse during winter and rainy season. They have small huts where the whole family has to Jung inn. It becomes a tough and horrible situation that students could not concentrate on their studies. Due to lack of sufficient space and unpleasant situation in and abounds.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"VILLAGE RECONSTRUCTION AND DEVELOPMENT PROJECT (VRDP)","US-GG-14200",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"150","0","0",0,0,0
"1490","US-EIN-300108263-GGProj:14789",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","1000 small farmer families come out of distress","Working with 1000 resource poor farming families to convert their farmland into sustainable, risk proof, Integrated Farming System (IFS) with substantially improved bio diversity, leading to better livelihood and environment","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Society for Community Participation and Empowerment","US-GG-16343",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"730","0","0",0,0,0
"1491","US-EIN-300108263-GGProj:14805",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Education to 410 poor children from 30 villages","Project area is Socio-economically back ward. Major population is marginalized communities & marginal famers. Agriculture is the only means of livelihood. JRDS is presently runs Nursery to 7th grade & boarding to orphan & poor children and plans to upgrade to 10th grade. School building needs repair additional class rooms, library, labs & sports equipment to provide quality and competitive education to 410 poor children from 30 villages and school compound since it is vulnerable to wild animals.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Jyothi Rural Development Societyt - JRDS","US-GG-16294",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"326","0","0",0,0,0
"1492","US-EIN-300108263-GGProj:14854",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Provide food shelter clothing & Edu for in India","Round Table our society plans to provide free education ,food,shelter & clothing for children with mentally handicapped who hail from Shri Sant Gadgebaba Shikshan Sanstha, also providing education, food, shelter & clothing.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Shree Sant Gadgebaba Shikshan Sanstha pachora Dist Jalgon","US-GG-14701",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"246","0","0",0,0,0
"1493","US-EIN-300108263-GGProj:1486",NA,"2015-09-18 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Books for Health Education: India & South Asia","This project sends free copies of Where There Is No Doctor and other Hesperian popular education materials to health workers and community leaders working to improve health in poor communities.","3","2006-08-11","2009-01-08",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Hesperian Foundation","US-GG-611",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"100","0","0",0,0,0
"1494","US-EIN-300108263-GGProj:14888",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","$1 Science and Art lessons for 1800 kids in India","This project fills the gap of participatory and interactive opportunities for economically disadvantaged kids in rural India by providing free hands-on science and art lessons using low-cost materials. The lessons are delivered through an innovative channel, namely the Science on Wheels and Art on Wheels programs. These moving labs, filled with science experiments and low-cost art supplies, go to village schools and carry out interactive demonstrations and hands-on activities for the children.","3","2013-09-01","2013-11-18",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Agastya International Foundation","US-GG-11720",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"10072","0","0",0,0,0
"1495","US-EIN-300108263-GGProj:14890",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","3420 children with life threatening illness, India","Fulfilling a wish enriches the human experience with hope, strength and joy. This appeal is to seek your support to adopt a wish or donate any amount that you wish to help us fulfill the wish of a child with a life-threatening medical condition in India.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Make A Wish India","US-GG-16371",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"1050","0","0",0,0,0
"1496","US-EIN-300108263-GGProj:14900",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Financial & Social Literacy for 20000 Indian kids","The project will help 20000 underprivileged children, in the districts of Amravati and Khandwa, become socially and financially sound. The parents of these children are majorly daily wage-workers and are not educated enough to make their children 'life-ready'.
Our 'child-participatory' curriculum involves activities that educate them about their individual rights and responsibilities to others and the importance of saving, spending and budgeting. The curriculum also increases student retention.","3","2013-09-01","2015-03-06",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"MelJol","US-GG-16074",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"6476","0","0",0,0,0
"1497","US-EIN-300108263-GGProj:14902",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Educate & Rehabilitate 25 Deafblind Children","Education and rehabilitation training provided to deafblind children by Sense International (India) will enable them to improve their communication, mobility and access to information, thus improving the quality of life and supporting the families of the deafblind individuals.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Sense International (India)","US-GG-11527",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"875","0","0",0,0,0
"1498","US-EIN-300108263-GGProj:14924",NA,"2015-09-30 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Excellent education for 175 kids in Hyderabad!!","The vision of Teach For India is that one day, all children will attain an excellent education. To achieve this daunting vision, we're building a movement of leaders who will work to end educational inequity. We are seeing the impact every day, across 23,000 children. With the help of our supporters we hope to grow and see this impact across 60,000 children in the next five years.","3","2013-09-01","2015-07-30",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Teach For India","US-GG-15110",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"34669","0","0",0,0,0
"1499","US-EIN-300108263-GGProj:14929",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Chiguru 2013","""Chiguru"" in the regional language Kannada, means -budding. The event is conducted once a year to provide a platform for the budding future citizens to showcase their cultural talents. Over a 1500 children from government and informal schools across Bangalore (India) will participate in various traditional/cultural events. It helps facilitate the all-round and holistic development of underprivileged children and also kindles interest in volunteers from the community to engage with these children","3","2013-08-28","2014-02-19",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Hindu Seva Pratishthana","US-GG-13095",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"10000","0","0",0,0,0
"1500","US-EIN-300108263-GGProj:14960",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","vocational skills 400 childerns in2blocks in india","The region is dry land with agricultural labours and marginalised community economical backword. There is large number of dropouts at 10th and 11th grade schooling. Need job oriented skills training for self supplemental and job placement.Manush has infrastructure for trainings and need equipments and running cost.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"MANUSH","US-GG-16420",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"800","0","0",0,0,0
"1501","US-EIN-300108263-GGProj:14962",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Provide one month food for an aged person in india","The project provides food materials for 30 days per person covering 1000 deserted old age persons living in Tirunelveli corporation slums of Tamilnadu, India","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Guard Society","US-GG-11270",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"25","0","0",0,0,0
"1502","US-EIN-300108263-GGProj:14972",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Support abandoned mentally challenged girls home","Home for mentally challenged Girls creates a community of people who care, nurture and provides for 40 mentally challenged orphans who live at Thiruvanamali, India. We provide vocational skills for  them with doctors and nurses who take care of their physical needs and volunteers meet with them every week on a consistent basis to give them the emotional care that they need.","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Vallalar Educational Trust","US-GG-16231",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"125","0","0",0,0,0
"1503","US-EIN-300108263-GGProj:14978",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Support Poor-Needy-Handicapped-Orphans in india","TO MAKE AVAILABLE THE RESIDENTIAL FACILITIES, BOARDING ARRANGEMENTS, CLOTHING & MEDICAL AID TO THE PHYSICALLY HANDICAPPED, POOR NEED & HELPLESS ORPHANS 500 STUDENTS (MALE & FEMALE ) AT FREE OF CHARGE"".","3","2013-09-01","2013-10-01",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"APANG KALYAN V PUNARVASAN SANSTHA","US-GG-14493",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"25","0","0",0,0,0
"1504","US-EIN-300108263-GGProj:15001",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Help us save 1000 dying TB children in Tamil Nadu","Blossom will provide 1000 poor TB children with nutrients for 6 months being the DOTS Treatment period to get fully cured from TB. You will save 1000 precious life of children living in Tamilnadu","3","2013-09-05","2014-08-15",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"B L O S S O M  T R U S T","US-GG-5699",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"3499","0","0",0,0,0
"1505","US-EIN-300108263-GGProj:1505",NA,"2015-09-18 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Help Women in India Start Small Businesses","Trickle Up’s program in West Bengal, India is helping extremely poor women start or expand small businesses. They are breaking the cycle of migrant labor and building stronger communities.","3","2006-12-15","2009-12-03",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"Trickle Up Program","US-GG-487",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"11402","0","0",0,0,0
"1506","US-EIN-300108263-GGProj:15129",NA,"2015-09-14 00:00:00","en","GlobalGiving","US-EIN-300108263","International NGO","21","Green Riders moving out of poverty in Bihar India","This is a simple straightforward appeal to provide cycle rickshaws to  below the poverty line families in order to provide a vital source of income. If Bihar was a country it would be the sixth poorest in the world and a regular source of Income can make all the difference to a family struggling to put food on the table. We will provide uniforms, ID cards, basic training in English , and a brand new cycle rickshaw. One rickshaw can earn enough daily to provide 7 kg rice or 5 kg vegetables.","3","2013-10-01","2014-09-24",NA,NA,NA,NA,NA,NA,"GlobalGiving","US-EIN-300108263","International NGO",21,NA,NA,NA,NA,"People First Educational Charitable Trust","US-GG-585",NA,NA,"IN","India","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,"C01",NA,"USD",NA,0,"1891","0","0",0,0,0
