aid,title,reporting,commitment,spend,currency
DAC-1601-OPP1115230,Marie Stopes International - US,Bill & Melinda Gates Foundation,3498070,1270777,USD
CA-3-S064682001,Save a Family Plan - Program 2010-2016,"Canada - Foreign Affairs, Trade and Development Canada - Affaires étrangères, Commerce et Développement Canada",3470001,3087612,USD
DAC-1601-OPP1056057,Research Triangle Institute,Bill & Melinda Gates Foundation,3468063,2480120,USD
DAC-1601-OPP1091851,World Health Partners,Bill & Melinda Gates Foundation,3441967,1199294,USD
CA-3-S063897PRG,SOPAR - Program 2007-2012,"Canada - Foreign Affairs, Trade and Development Canada - Affaires étrangères, Commerce et Développement Canada",3435650,3832453,USD
DE-1-201225291,Strengthening Capacities for International Cooperation Management,Germany - Ministry for Economic Cooperation and Development,3428156,3613432,USD
XM-DAC-41114-OUTPUT-00090113,Increasing women's income,United Nations Development Programme,3398515,312470,USD
DAC-1601-OPP1084307,"INCLEN, Inc.",Bill & Melinda Gates Foundation,3368776,2035457,USD
21020-BUZA,"Community Action for Harm Reduction (CAHR) in China, India, Indonesia, Kenya, and Malaysia.",International HIV/AIDS Alliance,3363625,0,USD
GB-1-108071-101,PROCOFSERVICES and P0053 for AP: Health Sector Reform Programme,UK - Department for International Development (DFID),3357511,2679530,USD
41122-India-2040%2FA0%2F05%2F905%2F002,"Capacity enhanced at state and district levels for planning, implementation, budgeting and public f",United Nations Children's Fund (UNICEF),3350682,4477907,USD
CA-3-S064052001,Academic Capacity Building for Sustainable Development,"Canada - Foreign Affairs, Trade and Development Canada - Affaires étrangères, Commerce et Développement Canada",3331517,3320830,USD
US-7-IN-10-444cb6cb,US-7-IN-10-444cb6cb,United States,3312664,0,USD
DAC-1601-OPP1111281,Population Council,Bill & Melinda Gates Foundation,3302762,1000000,USD
US-8-IN-30-AID-OAA-A-12-00031,N/A,United States,3300000,3354323,USD
DAC-1601-OPP1110191,Society for Applied Studies,Bill & Melinda Gates Foundation,3293159,518999,USD
XM-DAC-701-8-2012003068,Tamil Nadu Transmission System Improvement Project,Japan - Japan International Cooperation Agency (JICA),3276408,0,USD
XM-DAC-301-2-106505-001,Alleviating Poverty and Malnutrition in Agro-biodiversity Hotspots of India (CIFSRF),Canada - International Development Research Centre/Centre de recherches pour le développement international,3266192,2988410,USD
DE-1-201170232,"Städtische Infrastrukturentwicklung Tamil Nadu, II. Phase",Germany - Ministry for Economic Cooperation and Development,3250838,0,USD
GB-1-204327-101,Rapid Response Facility Activation to meet urgent humanitarian needs following Cyclone Phailin,UK - Department for International Development (DFID),3222545,3119691,USD
NL-KVK-41160054-107680,Investing in microfinance for rural areas,Cordaid,3217501,0,USD
US-1-IN-40-AID-386-A-13-00006,"This amendment is to attach the package of de-scoped PD, revised PD, re-aligned budget and budget notes for the project - Technology Tools for Teaching and Learning In India, Ph-II, where the overall funding has been reduced to $5,520,180.  The minutes of p",United States,3181872,473571,USD
DAC-1601-OPP51498,Heroes AIDS Project,Bill & Melinda Gates Foundation,3178978,3178978,USD
GB-1-203224-105,Strengthening the Evidence Base for Universal Health and Nutrition Coverage,UK - Department for International Development (DFID),3171463,1320176,USD
47122-03-IND-03A-Z,New vaccine support (NVS) for HEPB,GAVI Alliance,3116529,3116529,USD
GB-1-202869-103,India : Infrastructure Loan Fund - Small loans to bridge the infrastructure gap for the poor: Technical Assistance (TA) for policy and systems strengthening,UK - Department for International Development (DFID),3112023,8472,USD
SE-0-SE-6-4319941101-IND-15110,Decentralisation - PRIA Project Support,"Sweden, through Swedish International Development Cooperation Agency (Sida)",3094787,3451974,USD
GB-1-200754-106,Partnership with Self Employed Womens Association Bharat for Economic and Social empowerment of women workers and under privileged girls working in the informal sector of Bihar and Rajasthan,UK - Department for International Development (DFID),3078398,2049434,USD
DE-1-200324574,Indo-German corporate social responsibility Initiative,Germany - Ministry for Economic Cooperation and Development,3073519,5726900,USD
41122-India-2040%2FA0%2F05%2F901%2F002,Government and partners have capacity to scale up improved service delivery at community and facili,United Nations Children's Fund (UNICEF),3012200,4902258,USD
DAC-1601-OPP1081405,Harvard University,Bill & Melinda Gates Foundation,3000000,2250000,USD
DAC-1601-OPP48811,"Rural Education and Development, Inc",Bill & Melinda Gates Foundation,3000000,3000000,USD
DAC-1601-OPPGD1146,International Institute for Environment and Development,Bill & Melinda Gates Foundation,3000000,3000000,USD
US-EIN-941655673-29488,for the Annual Status of Education Report (ASER) and the related activities of the ASER Centre,The William and Flora Hewlett Foundation,3000000,3000000,USD
US-EIN-941655673-33000,"for Read India Phase III, a nationwide program to improve learning achievement in the primary grades",The William and Flora Hewlett Foundation,3000000,3000000,USD
DAC-1601-OPP1084386,Jhpiego Corporation,Bill & Melinda Gates Foundation,2999995,1023409,USD
DAC-1601-OPP1118610,International Rice Research Institute,Bill & Melinda Gates Foundation,2998377,1032660,USD
DAC-1601-OPPGD1305,GSMA Mobile for Development Foundation Inc.,Bill & Melinda Gates Foundation,2985090,2985090,USD
DAC-1601-OPP1032902,Centre for Advocacy and Research,Bill & Melinda Gates Foundation,2959163,2197877,USD
DE-1-200870188,Environment Related Urban Infrastructure Development Orissa (AM),Germany - Ministry for Economic Cooperation and Development,2955307,191178,USD
DAC-1601-OPP1025880,Duke University,Bill & Melinda Gates Foundation,2950000,2950000,USD
US-1-IN-70-AID-FFP-G-14-00016,n/a,United States,2933522,4024448,USD
DAC-1601-OPP1067791,CARE,Bill & Melinda Gates Foundation,2901924,1996950,USD
47045-IDA-910-G17-T,Universal Access to DR TB Control Services and Strengthening Civil Society,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",2899618,5438727,USD
41122-India-2040%2FA0%2F05%2F903%2F003,Government and partners have capacity to scale up improved service delivery at community and facili,United Nations Children's Fund (UNICEF),2883329,3428321,USD
SE-0-SE-6-4310005801-IND-41010,CSE Core support,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2882524,3094103,USD
XM-DAC-701-8-2014003005,Campus Development Project of IITH,Japan - Japan International Cooperation Agency (JICA),2867777,0,USD
DAC-1601-OPP51526,Digital Green,Bill & Melinda Gates Foundation,2861910,2861910,USD
41122-India-2040%2FA0%2F05%2F910%2F003,"Capacity enhanced at state and district levels for planning, implementation, budgeting and public f",United Nations Children's Fund (UNICEF),2857168,5564828,USD
US-8-IN-30-AID-386-A-14-00006,N/A,United States,2836000,487982,USD
41122-India-2040%2FA0%2F04%2F800%2F022,IR81-Effective and efficient Governance and Systems,United Nations Children's Fund (UNICEF),2812415,2603777,USD
GB-1-108078-109,IPAP - WATERAID,UK - Department for International Development (DFID),2803277,2262470,USD
SE-0-SE-6-9900346001-IND-43040,"PAHAL, Dungarpur IWDP - Dungarpur loc costs inr","Sweden, through Swedish International Development Cooperation Agency (Sida)",2793218,1818581,USD
SE-0-SE-6-5400015601-IND-15150,Save the Children frame 2013-2015 - Save the Children Framework Agreement S 2013-2015,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2788029,2643813,USD
DAC-1601-OPP1031017,Global Health Strategies Initiatives,Bill & Melinda Gates Foundation,2787844,2787844,USD
DAC-1601-OPP1029478,Indira Gandhi Institute of Development Research,Bill & Melinda Gates Foundation,2786640,1769730,USD
US-8-IN-30-AAG-G-00-97-00021,N/A,United States,2770000,1508648,USD
XM-DAC-701-8-2014955757,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),2767580,2403449,USD
DAC-1601-OPP1094430,Population Foundation of India,Bill & Melinda Gates Foundation,2757316,1250000,USD
GB-1-202927-107,Technical Assistance Grant to Technology Development Board,UK - Department for International Development (DFID),2745381,369264,USD
SE-0-SE-6-4319931601-IND-41010,Tank Network - Oxfam Indi,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2723412,1860751,USD
DAC-1601-OPPGH5190,Johns Hopkins University,Bill & Melinda Gates Foundation,2699943,2699943,USD
41122-India-2040%2FA0%2F05%2F904%2F004,Government and partners have capacity to scale up improved service delivery at community and facili,United Nations Children's Fund (UNICEF),2694525,4553285,USD
DAC-1601-OPP52340,Institute of Development Studies,Bill & Melinda Gates Foundation,2676910,2676910,USD
SE-0-SE-6-4319933601-IND-13020,Strengthening Midwifery - Midwifery IIMA,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2676516,1963712,USD
DAC-1601-OPP1032883,International Finance Corporation,Bill & Melinda Gates Foundation,2625880,2625880,USD
41122-India-2040%2FA0%2F05%2F901%2F005,Government and partners have capacity to scale up improved service delivery at community and facili,United Nations Children's Fund (UNICEF),2624953,4672045,USD
DAC-1601-OPP52981,Centre for Advocacy and Research,Bill & Melinda Gates Foundation,2619320,2619320,USD
DAC-1601-OPP51035,"Acumen Fund, Inc.",Bill & Melinda Gates Foundation,2602291,2602291,USD
SE-0-SE-6-4319931101-IND-43030,CLIFF,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2599621,2587686,USD
GB-1-200754-103,Support to Future IPF Partners (INCL.SEWA),UK - Department for International Development (DFID),2582775,30914,USD
41122-India-2040%2FA0%2F05%2F901%2F012,Government and partners have capacity to scale up improved service delivery at community and facili,United Nations Children's Fund (UNICEF),2567563,3245212,USD
US-11-OGAC-17339,Linkages Across the Continuum of HIV Services for Key Populations Affected by HIV (LINKAGES),United States,2523000,0,USD
DAC-1601-OPP1097073,World Organisation for Animal Health (OIE),Bill & Melinda Gates Foundation,2516050,1839007,USD
41122-India-2040%2FA0%2F05%2F902%2F005,Government and partners have capacity to scale up improved service delivery at community and facili,United Nations Children's Fund (UNICEF),2511525,3739850,USD
DAC-1601-OPPGH5189,Praxis- Institute for Participatory Practices,Bill & Melinda Gates Foundation,2505182,2505182,USD
US-11-OGAC-17350,Laboratory Strengthening,United States,2500000,0,USD
US-8-IN-30-AID-386-A-13-00002,N/A,United States,2500000,1548870,USD
US-8-IN-30-AID-OAA-A-12-00080,N/A,United States,2500000,7500000,USD
US-EIN-941655673-32698,for the Annual Status of Education Report (ASER) and the related activities of the ASER Centre,The William and Flora Hewlett Foundation,2500000,2500000,USD
DAC-1601-OPP1067325,University of Southern California,Bill & Melinda Gates Foundation,2499925,2499925,USD
DAC-1601-OPP50728,Innovations for Poverty Action,Bill & Melinda Gates Foundation,2499632,2499632,USD
DAC-1601-OPP1056029,Partners in Expanding Health Quality and Access,Bill & Melinda Gates Foundation,2496653,1982563,USD
DAC-1601-OPP1114237,"Johns Hopkins University Bloomberg School of Public Health, Center for Communication Programs",Bill & Melinda Gates Foundation,2476213,1219757,USD
XM-DAC-301-2-107641-005,"Himalayan Adaptation, Water, and Resilience",Canada - International Development Research Centre/Centre de recherches pour le développement international,2467587,918124,USD
XI-IATI-EC_ECHO-ECHO%2FIND%2FBUD%2F2012%2F02000,Commission implementing decision on the financing of emergency humanitarian actions in India from the general budget of the European Union,European Commission - Humanitarian Aid & Civil Protection,2455014,0,USD
41122-India-2040%2FA0%2F05%2F909%2F006,"Capacity enhanced at state and district levels for planning, implementation, budgeting and public f",United Nations Children's Fund (UNICEF),2446036,3884785,USD
EU-1-2012%2F291-645,Green Retail Concept,European Commission - Development and Cooperation-EuropeAid,2444569,1188752,USD
NL-KVK-27264198-2IND-PJ-00033,Empowering the communities facing multiple marginalisation to promote social inclusion,ActionAid International,2442684,1898750,USD
DAC-1601-OPP1029719,Deutsche Gesellschaft fr Internationale Zusammenarbeit (GIZ) GmbH,Bill & Melinda Gates Foundation,2442389,2442389,USD
DAC-1601-OPP1038511,Centre for Policy Research,Bill & Melinda Gates Foundation,2430259,1844977,USD
US-8-IN-30-AID-OAA-A-12-00047,N/A,United States,2404000,2400699,USD
47122-06-IND-03A-Z,New vaccine support (NVS) for HEPB,GAVI Alliance,2400342,2400342,USD
41122-India-2040%2FA0%2F05%2F905%2F005,"Capacity enhanced at state and district levels for planning, implementation, budgeting and public f",United Nations Children's Fund (UNICEF),2397961,2629965,USD
DAC-1601-OPP48317,Christian Medical Association of India,Bill & Melinda Gates Foundation,2394891,2394891,USD
XM-DAC-701-8-2014955758,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),2383533,2069931,USD
41122-India-2040%2FA0%2F05%2F904%2F002,Government and partners have capacity to scale up improved service delivery at community and facili,United Nations Children's Fund (UNICEF),2380985,3133507,USD
DE-1-200370585,Watershed Development Programme (Accompanying Measure),Germany - Ministry for Economic Cooperation and Development,2364245,1966311,USD
DE-1-200967166,Pulse Polio Programme XVI (ehemals XIII),Germany - Ministry for Economic Cooperation and Development,2364245,693954,USD
DE-1-201170224,Natural Resource Management NABARD - Umbrella Programme - Phase II,Germany - Ministry for Economic Cooperation and Development,2364245,0,USD
DE-1-201370279,Klimaanpassung in Waldökosystemen Himachal Pradesh,Germany - Ministry for Economic Cooperation and Development,2364245,0,USD
GB-1-107955-102,MULTILATORGANISATION and P0053 for Small and Medium Enterprises project(SME),UK - Department for International Development (DFID),2362174,2355531,USD
XM-DAC-701-8-2014955736,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),2357496,2047320,USD
NL-KVK-41160054-317%2F10481,Channeling India's Entrepreneural Energy,Cordaid,2356954,2868790,USD
SE-0-SE-6-9900346501-IND-11220,"Shiksha Karmi Phase II - Shiksha Karmi,progr costs","Sweden, through Swedish International Development Cooperation Agency (Sida)",2354117,2013313,USD
XM-DAC-701-8-2013955818,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),2353772,1995869,USD
DAC-1601-OPP1107368,The Antara Foundation,Bill & Melinda Gates Foundation,2350000,0,USD
SE-0-SE-6-4310000801-IND-15110,WB-Sida SD Trust Fund,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2305616,2252880,USD
DAC-1601-OPP1052123,WASH United,Bill & Melinda Gates Foundation,2300237,1500000,USD
DAC-1601-OPP1041881,Family Health International,Bill & Melinda Gates Foundation,2300000,2300000,USD
DE-1-201010024,Partnership Project between German Confederation of Chambers of Skilled Crafts and Small Business (ZDH) and Chambers and Associations in North India,Germany - Ministry for Economic Cooperation and Development,2295328,1851347,USD
XM-DAC-701-8-2013955837,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),2284672,1937276,USD
DAC-1601-OPP30183_01,American University,Bill & Melinda Gates Foundation,2265448,2265448,USD
41119-IN-REGULAR-U6-UNFPA,UNFPA India regular-funded Young People's Sexual and Reproductive Health and Sexuality Education activities implemented by UNFPA,United Nations Population Fund,2250043,2250043,USD
EU-1-2014%2F350-227,EU  India Intellectual Property Cooperation,European Commission - Development and Cooperation-EuropeAid,2244797,661105,USD
41122-India-2040%2FA0%2F05%2F909%2F007,"Capacity enhanced at state and district levels for planning, implementation, budgeting and public f",United Nations Children's Fund (UNICEF),2241002,1132412,USD
XM-DAC-41114-OUTPUT-00086909,Policy Advocacy,United Nations Development Programme,2230182,6924099,USD
XM-DAC-301-2-107642-002,"Deltas, Vulnerability, and Climate Change: Migration as an Adaptation",Canada - International Development Research Centre/Centre de recherches pour le développement international,2228574,744143,USD
SE-0-SE-6-4319933701-IND-16064,Lawyers Collective - LC - Project cost,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2228246,2306643,USD
41119-IN-S6-RT,UNFPA India Adolescents,United Nations Population Fund,2223430,1182191,USD
41122-India-2040%2FA0%2F05%2F910%2F005,"Capacity enhanced at state and district levels for planning, implementation, budgeting and public f",United Nations Children's Fund (UNICEF),2217673,3567755,USD
GB-1-203911-101,India:Infrastructure Equity Fund - TA,UK - Department for International Development (DFID),2216061,35581,USD
41119-IN-REGULAR-U2-GOV,UNFPA India regular-funded Maternal and Newborn Health activities implemented by GOV,United Nations Population Fund,2209285,2209285,USD
XM-DAC-301-2-107847-001,Enhanced Preservation of Fruits Using Nanotechnology (CIFSRF Phase 2),Canada - International Development Research Centre/Centre de recherches pour le développement international,2203188,363247,USD
DAC-1601-OPP30111,Centre for Advocacy and Research,Bill & Melinda Gates Foundation,2200630,2200630,USD
US-EIN-131837418%3AUS-EIN-TheJohnD.andCatherineT.MacArthurFoundation%3A32993,US-EIN-131837418:US-EIN-TheJohnD.andCatherineT.MacArthurFoundation:32993,The Foundation Center,2200000,0,USD
US-EIN-131837418%3AUS-EIN-TheJohnD.andCatherineT.MacArthurFoundation%3A73220,US-EIN-131837418:US-EIN-TheJohnD.andCatherineT.MacArthurFoundation:73220,The Foundation Center,2200000,0,USD
EU-1-2013%2F283-488,Developing Evidence based Management and Operations in India-EU Migration and Partnership (DEMO: India-EU MaP),European Commission - Development and Cooperation-EuropeAid,2191710,649728,USD
SE-0-SE-6-4319941201-IND-15160,HR Law Network - SLIC,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2166350,2421528,USD
41122-India-2040%2FA0%2F04%2F837%2F001,IR15-Parents of all children,United Nations Children's Fund (UNICEF),2164820,2333906,USD
41122-India-2040%2FA0%2F04%2F800%2F052,IR82-Effective and efficient Management and Stewardship of Financial Resources,United Nations Children's Fund (UNICEF),2164342,2053704,USD
DAC-1601-OPP51879,Population Council,Bill & Melinda Gates Foundation,2150788,2150788,USD
DE-1-201170240,Neue Finanzierungsansätze für den ländlichen Strukturwandel,Germany - Ministry for Economic Cooperation and Development,2140712,0,USD
DAC-1601-OPP1112830,Kohler,Bill & Melinda Gates Foundation,2140655,240751,USD
DAC-1601-OPP1084092,Access to Nutrition Foundation,Bill & Melinda Gates Foundation,2139642,1215077,USD
41122-India-2040%2FA0%2F04%2F826%2F061,IR09-Frontline workers (ANM/AWW/ASHA) can  provide quality assured (or according to set standards) c,United Nations Children's Fund (UNICEF),2130580,2223808,USD
XM-DAC-301-2-107877-001,"TTI Phase 2 Institutional Support: Center for Study of Science, Technology and Policy",Canada - International Development Research Centre/Centre de recherches pour le développement international,2128051,497264,USD
DE-1-201321173,Strenghtening Quality Infrastructure for the Solar Industry in India,Germany - Ministry for Economic Cooperation and Development,2127821,98363,USD
US-8-IN-30-UPS002030A,N/A,United States,2123850,528858,USD
DAC-1601-OPP51781,"University of California, Irvine",Bill & Melinda Gates Foundation,2100130,2100130,USD
DAC-1601-OPP1095868,Liverpool School of Tropical Medicine,Bill & Melinda Gates Foundation,2074223,2074223,USD
DAC-1601-OPP30183,Yale University,Bill & Melinda Gates Foundation,2072136,2072136,USD
DAC-1601-OPP37543,International Institute for Population Sciences,Bill & Melinda Gates Foundation,2062208,2062208,USD
DAC-1601-OPP50914,"Center for Disease Dynamics, Economics",Bill & Melinda Gates Foundation,2061024,2061024,USD
XM-DAC-41114-OUTPUT-00076108,Energy efficient railways,United Nations Development Programme,2055286,2881254,USD
41122-India-2040%2FA0%2F05%2F901%2F010,Government and partners have capacity to scale up improved service delivery at community and facili,United Nations Children's Fund (UNICEF),2052759,1263480,USD
DAC-1601-OPP1112842,Logistimo,Bill & Melinda Gates Foundation,2047165,1148478,USD
GB-1-114177-101,TEACHNICAL Cooperation for MAHILA SAMAKHYA,UK - Department for International Development (DFID),2043222,845733,USD
GB-1-108078-103,Voluntary Services Overseas,UK - Department for International Development (DFID),2041522,1678670,USD
SE-0-SE-6-4319931801-IND-14010,Tarun Bharat Sangh,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2038265,2214126,USD
US-1-IN-70-AID-OFDA-G-14-00021,n/a,United States,2034853,1577000,USD
DAC-1601-OPPGD1418,University of Nebraska-Lincoln,Bill & Melinda Gates Foundation,2034324,2034324,USD
DAC-1601-OPP1052276,Sesame Workshop,Bill & Melinda Gates Foundation,2030307,2030307,USD
US-8-IN-30-UPS001954A,N/A,United States,2016934,502236,USD
SE-0-SE-6-4319941601-IND-13020,RCHR/IMCH Raj. Phase II - RCHR Rajasthan Network,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2007387,1641165,USD
DE-1-200870170,Microfinance Facility,Germany - Ministry for Economic Cooperation and Development,2006127,664678,USD
DAC-1601-OPPGH5302,Emory University,Bill & Melinda Gates Foundation,2005747,2005747,USD
DAC-1601-OPP1052269,WaterAid America Inc.,Bill & Melinda Gates Foundation,2003142,1500000,USD
US-1-IN-60-AID-BFS-G-11-00002,n/a,United States,2000000,3000000,USD
US-8-IN-30-AID-386-A-13-00003,N/A,United States,2000000,254693,USD
US-8-IN-30-AID-386-A-14-00007,N/A,United States,2000000,310153,USD
XM-DAC-301-2-106142-001,Institutional Support to Policy Research Organizations in India,Canada - International Development Research Centre/Centre de recherches pour le développement international,1995631,2010514,USD
21020-ECASRH,Capacity development and advocacy on sexual and reproductive health and rights policies.,International HIV/AIDS Alliance,1993267,0,USD
GB-1-107935-101,PROCOFSERVICES and P0053 for Orissa Tribal Empowerment and Livelihoods Programme,UK - Department for International Development (DFID),1987424,692385,USD
US-8-IN-30-UPS001955A,N/A,United States,1984538,494166,USD
SE-0-SE-6-5403043301-IND-15150,Forum Syd frame 2014-2016 South and East - Forum Syd ram 2014-2016 Syd,"Sweden, through Swedish International Development Cooperation Agency (Sida)",1980574,1227383,USD
XM-DAC-701-8-2014950479,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),1959982,1702106,USD
XM-DAC-301-2-107075-001,From Data to Development: Exploring the Emerging Impact of Open Government Data in Developing Countries,Canada - International Development Research Centre/Centre de recherches pour le développement international,1957789,1718071,USD
DAC-1601-OPP1075573,Vihara Innovation Network Private Limited,Bill & Melinda Gates Foundation,1949999,1550000,USD
XM-DAC-301-2-106506-001,Revalorizing Minor Millets in Rainfed Regions of South Asia (CIFSRF),Canada - International Development Research Centre/Centre de recherches pour le développement international,1939485,1824754,USD
GB-1-107987-102,NOTFORPROFITORG and P0053 for West Bengal  : Civil Society Support Programme,UK - Department for International Development (DFID),1932287,1907022,USD
41122-India-2040%2FA0%2F05%2F903%2F001,Government and partners have capacity to scale up improved service delivery at community and facili,United Nations Children's Fund (UNICEF),1925253,2104014,USD
US-1-IN-60-AID-386-A-14-00002,n/a,United States,1910866,0,USD
41119-IN-REGULAR-U3-NGO,UNFPA India regular-funded Family Planning activities implemented by NGO,United Nations Population Fund,1903866,1903866,USD
DAC-1601-OPP1114380,Global Health Strategies,Bill & Melinda Gates Foundation,1896087,600000,USD
DAC-1601-OPP1065133,Serum Institute of India,Bill & Melinda Gates Foundation,1892006,1892006,USD
XM-DAC-301-2-107880-001,TTI Phase 2 Institutional Support: National Council of Applied Economic Research,Canada - International Development Research Centre/Centre de recherches pour le développement international,1885963,427142,USD
DK-1-144591-20094,Health,Denmark - Danida - Danish Ministry of Foreigh Affairs,1874318,1478501,USD
FI-3-2007-9008-99900003,Administrative costs at MFA from the Embassy of Finland in New Delhi,Finland - Ministry of Foreign Affairs,1851219,1851219,USD
SE-0-SE-6-7400289701-IND-15150,Forum Syd 06-08 SouthSEKA - FrameForumSyd06-08 South,"Sweden, through Swedish International Development Cooperation Agency (Sida)",1842984,1828618,USD
SE-0-SE-6-4310000101-IND-11110,Consultancy Fund - Int. Training Programmes,"Sweden, through Swedish International Development Cooperation Agency (Sida)",1841751,224810,USD
41304-243IND4000,Building Partnerships to Support UNESCO's World Heritage Programme: India,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",1829990,1397505,USD
41122-India-2040%2FA0%2F05%2F906%2F001,"Capacity enhanced at state and district levels for planning, implementation, budgeting and public f",United Nations Children's Fund (UNICEF),1828064,2964728,USD
41119-IN-REGULAR-U3-UNFPA,UNFPA India regular-funded Family Planning activities implemented by UNFPA,United Nations Population Fund,1818718,1818718,USD
SE-0-SE-6-4100272001-IND-25010,India staff costs - IND-SAK-05,"Sweden, through Swedish International Development Cooperation Agency (Sida)",1806358,857070,USD
GB-1-108078-108,IPAP - SKILLSHARE International,UK - Department for International Development (DFID),1801737,1465264,USD
CA-3-S065532001,Access to Quality Education in Bihar,"Canada - Foreign Affairs, Trade and Development Canada - Affaires étrangères, Commerce et Développement Canada",1800477,1571050,USD
SE-0-SE-6-4310001501-IND-14050,"EPTRI II - EPTRI, local costs","Sweden, through Swedish International Development Cooperation Agency (Sida)",1799375,544367,USD
XM-DAC-701-8-2013950482,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),1797393,1524090,USD
SE-0-SE-6-4319931001-IND-15160,"Urban Slums-SPARC - SPARC, program costs","Sweden, through Swedish International Development Cooperation Agency (Sida)",1794976,1722117,USD
DAC-1601-OPP1038515,Public Affairs Centre,Bill & Melinda Gates Foundation,1792441,1237681,USD
XM-DAC-701-8-2014955755,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),1780185,1545966,USD
DE-1-200870154,Energy Efficient New Residential Areas (Accompanying Measure),Germany - Ministry for Economic Cooperation and Development,1773184,1054756,USD
DE-1-201070101,demand-driven energy efficiency,Germany - Ministry for Economic Cooperation and Development,1773184,0,USD
DE-1-201070366,Energy efficiency in public buildings and infrastructure - accompanaying measure,Germany - Ministry for Economic Cooperation and Development,1773184,158677,USD
DE-1-201120732,Strengthening the quality infrastructure in environmental analytics,Germany - Ministry for Economic Cooperation and Development,1773184,1011837,USD
DE-1-201122654,Consumer policy and consumer protection in India,Germany - Ministry for Economic Cooperation and Development,1773184,2758504,USD
47122-06-IND-07A-Z,Injection safety support (INS),GAVI Alliance,1767408,1767408,USD
DAC-1601-OPPGH5192,Praxis- Institute for Participatory Practices,Bill & Melinda Gates Foundation,1766699,1766699,USD
EU-1-2011%2F260-631,Sustainable livelihoods for Small Tea Growers,European Commission - Development and Cooperation-EuropeAid,1755617,1363589,USD
GB-1-107905-101,PROCOFSERVICES and P0053 for Andhra Pradesh PMSDIP Phase II,UK - Department for International Development (DFID),1748123,1535089,USD
US-6-IN-50-AID-BFS-G-11-00002,US-6-IN-50-AID-BFS-G-11-00002,United States,1742379,2179879,USD
XM-DAC-301-2-107642-003,"Deltas, Vulnerability, and Climate Change: Migration as an Adaptation",Canada - International Development Research Centre/Centre de recherches pour le développement international,1739976,552103,USD
DAC-1601-OPP1044184,Centers for Disease Control and Prevention,Bill & Melinda Gates Foundation,1732661,1732661,USD
DAC-1601-OPP1042722,World Health Organization,Bill & Melinda Gates Foundation,1728412,1728412,USD
GB-1-108078-102,NOTFORPROFITORG and P0053 for IPAP,UK - Department for International Development (DFID),1722116,1430128,USD
XM-DAC-301-2-106142-008,Institutional Support to Policy Research Organizations in India,Canada - International Development Research Centre/Centre de recherches pour le développement international,1716256,1716547,USD
XM-DAC-701-8-2013951368,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),1708791,1448961,USD
DAC-1601-OPP1118009,Practical Action,Bill & Melinda Gates Foundation,1696172,230000,USD
41304-922IND4002,Applying 'Art for Life' Methodology Towards the Development and Promotion of Village Enterprise with Crafts of Bengal,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",1684994,438460,USD
CA-3-S065647001,Reducing Unemployment Among People with Disabilities,"Canada - Foreign Affairs, Trade and Development Canada - Affaires étrangères, Commerce et Développement Canada",1682802,473735,USD
41122-India-2040%2FA0%2F04%2F827%2F001,IR01-National and state WCD government departments can roll out the Integrated Child Development Ser,United Nations Children's Fund (UNICEF),1680135,1776183,USD
XM-DAC-301-2-106142-004,Institutional Support to Policy Research Organizations in India,Canada - International Development Research Centre/Centre de recherches pour le développement international,1678035,1681159,USD
41122-India-2040%2FA0%2F04%2F827%2F011,IR01-National and state WCD government departments can roll out the Integrated Child Development Ser,United Nations Children's Fund (UNICEF),1653451,1737880,USD
47045-IDA-910-G18-T,Providing Universal Access to DR TB Control Services and Strengthening Civil Society Involvement in TB Care and Control,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",1645382,1645382,USD
XM-DAC-701-8-2013955806,TC AGGREGATED ACTIVITIES,Japan - Japan International Cooperation Agency (JICA),1628583,1380949,USD
XM-DAC-301-2-107879-001,TTI Phase 2 Institutional Support: Centre for the Study of Developing Societies,Canada - International Development Research Centre/Centre de recherches pour le développement international,1621620,348714,USD
